producer_region,consumer_region,distance,shipping_cost_2014,shipping_cost_2015,shipping_cost_2016,shipping_cost_2017,shipping_cost_2018,shipping_cost_2019,shipping_cost_2020,shipping_cost_2021,shipping_cost_2022,shipping_cost_2023
SE ASIA (Vietnam),N ASIA (China),0.20992202896067175,0.08374535146020022,0.06456162602808135,0.05819505136187512,0.06319354442908551,0.05986855564869446,0.05595107132036272,0.08284213216309866,0.34249300975588354,0.2875189648173968,0.0601189288533989
S ASIA (Indonesia),N ASIA (China),0.3582383686059464,0.14291400590003964,0.11017639119322781,0.09931163663020402,0.10784171806449247,0.1021675229253843,0.09548221599609655,0.1413726345199655,0.5844748056283058,0.49065991506185147,0.10259479246369829
N ASIA (China),N ASIA (China),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMEA (Egypt),N ASIA (China),0.5908662496786907,0.23571752802838394,0.18172121350597917,0.16380125477203705,0.17787048260529537,0.16851165704220283,0.15748513788784543,0.23317524220274624,0.9640129776639073,0.8092778699513341,0.1692163809685873
AMERICAS (Brazil),N ASIA (China),1.425584782794962,0.568716390855025,0.43843931994090507,0.3952037814526034,0.4291486498820918,0.40656858321754225,0.37996486719518163,0.5625826101753614,2.325877018905466,1.9525471578089177,0.40826887276034735
SE ASIA (Vietnam),EMEA (Germany),0.8001885014137606,0.3192236070558408,0.24609837774540885,0.22183003455859254,0.24088347405029784,0.2282091596747582,0.2132763490044357,0.3157806825596646,1.3055274359633455,1.0959753520121098,0.2291635414538336
S ASIA (Indonesia),EMEA (Germany),0.9437066232542198,0.37647808203373273,0.29023744860134204,0.2616164472243643,0.2840872238130399,0.269139702822335,0.25152861204998983,0.37241765046708925,1.5396808201842047,1.2925444402035953,0.27026525811891244
N ASIA (China),EMEA (Germany),0.6205123811155856,0.24754442256113057,0.19083889620218983,0.17201982120926512,0.18679495867568868,0.17696656326850826,0.1653867993885987,0.2448745800510859,1.0123813782253503,0.8498825890643215,0.17770664602298566
EMEA (Egypt),EMEA (Germany),0.27444092194327824,0.10948422886817197,0.08440444415018146,0.07608112224983103,0.08261588685973915,0.07826897295623199,0.07314746181188646,0.10830340788506326,0.4477571878563653,0.37588703849392735,0.07859629759895376
AMERICAS (Brazil),EMEA (Germany),0.806871733356182,0.3218897855921247,0.24815380910467022,0.22368277496929712,0.24289535015865238,0.2301151789974513,0.21505764841790032,0.31841810554281635,1.3164312950494512,1.1051290170144596,0.2310775318418194
SE ASIA (Vietnam),AMERICAS (US),1.1836175134949876,0.4721870551311044,0.3640221640620064,0.3281250773522216,0.3563084174462805,0.33756090927798577,0.3154726935589758,0.467094372939202,1.9311014027623572,1.621137542852049,0.3389726053799398
S ASIA (Indonesia),AMERICAS (US),1.2828378031017051,0.511769551862089,0.39453741424180977,0.3556311465265283,0.38617703967031364,0.36585796537642995,0.341918138697335,0.5062499603044543,2.092981772271465,1.757034261733088,0.3673880011400361
N ASIA (China),AMERICAS (US),1.0,0.3989355089355089,0.3075505050505051,0.27722222222222226,0.301033411033411,0.2851942501942502,0.266532634032634,0.3946328671328671,1.631524864024864,1.3696464646464646,0.2863869463869464
EMEA (Egypt),AMERICAS (US),0.9422500214206152,0.3758969918399273,0.2897894699717594,0.26121264482715945,0.2836487379945524,0.2687242883545685,0.2511403801265424,0.3718428275092229,1.5373043380756946,1.2905494106518012,0.2698481063676848
AMERICAS (Brazil),AMERICAS (US),0.6255676463028018,0.24956114735139667,0.1923936455636824,0.17342125305838785,0.18831676239867484,0.1784082958331095,0.16673419253468091,0.24686955384603398,1.0206291690725329,0.8568065151558425,0.17915440798312873
